adhesivity_throughput_100,particle_size,n
0.2,0.03,0.16
0.15,0.04,0.16
0.1,0.05,0.16
0.1,0.06,0.16
0.05,0.07,0.16
0.05,0.08,0.16
0.05,0.09,0.16
0.05,0.1,0.16
1.0,0.01,0.17
0.4,0.02,0.17
0.2,0.03,0.17
0.15,0.04,0.17
0.1,0.05,0.17
0.1,0.06,0.17
0.1,0.07,0.17
0.05,0.08,0.17
0.05,0.09,0.17
0.05,0.1,0.17
1.0,0.01,0.18
0.4,0.02,0.18
0.25,0.03,0.18
0.15,0.04,0.18
0.1,0.05,0.18
0.1,0.06,0.18
0.1,0.07,0.18
0.05,0.08,0.18
0.05,0.09,0.18
0.05,0.1,0.18
1.0,0.01,0.19
0.45,0.02,0.19
0.25,0.03,0.19
0.15,0.04,0.19
0.15,0.05,0.19
0.1,0.06,0.19
0.1,0.07,0.19
0.05,0.08,0.19
0.05,0.09,0.19
0.05,0.1,0.19
1.0,0.01,0.2
0.45,0.02,0.2
0.25,0.03,0.2
0.2,0.04,0.2
0.15,0.05,0.2
0.1,0.06,0.2
0.1,0.07,0.2
0.1,0.08,0.2
0.05,0.09,0.2
0.05,0.1,0.2
1.0,0.01,0.21
0.5,0.02,0.21
0.3,0.03,0.21
0.2,0.04,0.21
0.15,0.05,0.21
0.1,0.06,0.21
0.1,0.07,0.21
0.1,0.08,0.21
0.05,0.09,0.21
0.05,0.1,0.21
1.0,0.01,0.22
0.5,0.02,0.22
0.3,0.03,0.22
0.2,0.04,0.22
0.15,0.05,0.22
0.1,0.06,0.22
0.1,0.07,0.22
0.1,0.08,0.22
0.05,0.09,0.22
0.05,0.1,0.22
1.0,0.01,0.23
0.55,0.02,0.23
0.3,0.03,0.23
0.2,0.04,0.23
0.15,0.05,0.23
0.15,0.06,0.23
0.1,0.07,0.23
0.1,0.08,0.23
0.1,0.09,0.23
0.05,0.1,0.23
1.0,0.01,0.24
0.55,0.02,0.24
0.3,0.03,0.24
0.2,0.04,0.24
0.15,0.05,0.24
0.15,0.06,0.24
0.1,0.07,0.24
0.1,0.08,0.24
0.1,0.09,0.24
0.05,0.1,0.24
1.0,0.01,0.25
0.55,0.02,0.25
0.35,0.03,0.25
0.25,0.04,0.25
0.15,0.05,0.25
0.15,0.06,0.25
0.1,0.07,0.25
0.1,0.08,0.25
0.1,0.09,0.25
0.05,0.1,0.25
1.0,0.01,0.26
0.6,0.02,0.26
0.35,0.03,0.26
0.25,0.04,0.26
0.2,0.05,0.26
0.15,0.06,0.26
0.1,0.07,0.26
0.1,0.08,0.26
0.1,0.09,0.26
0.1,0.1,0.26
1.0,0.01,0.27
0.6,0.02,0.27
0.35,0.03,0.27
0.25,0.04,0.27
0.2,0.05,0.27
0.15,0.06,0.27
0.1,0.07,0.27
0.1,0.08,0.27
0.1,0.09,0.27
0.1,0.1,0.27
1.0,0.01,0.28
0.65,0.02,0.28
0.35,0.03,0.28
0.25,0.04,0.28
0.2,0.05,0.28
0.15,0.06,0.28
0.15,0.07,0.28
0.1,0.08,0.28
0.1,0.09,0.28
0.1,0.1,0.28
1.0,0.01,0.29
0.65,0.02,0.29
0.4,0.03,0.29
0.25,0.04,0.29
0.2,0.05,0.29
0.15,0.06,0.29
0.15,0.07,0.29
0.1,0.08,0.29
0.1,0.09,0.29
0.1,0.1,0.29
1.0,0.01,0.3
0.7,0.02,0.3
0.4,0.03,0.3
0.25,0.04,0.3
0.2,0.05,0.3
0.15,0.06,0.3
0.15,0.07,0.3
0.1,0.08,0.3
0.1,0.09,0.3
0.1,0.1,0.3
1.0,0.01,0.31
0.7,0.02,0.31
0.4,0.03,0.31
0.3,0.04,0.31
0.2,0.05,0.31
0.15,0.06,0.31
0.15,0.07,0.31
0.1,0.08,0.31
0.1,0.09,0.31
0.1,0.1,0.31
1.0,0.01,0.32
0.7,0.02,0.32
0.45,0.03,0.32
0.3,0.04,0.32
0.2,0.05,0.32
0.15,0.06,0.32
0.15,0.07,0.32
0.1,0.08,0.32
0.1,0.09,0.32
0.1,0.1,0.32
1.0,0.01,0.33
0.75,0.02,0.33
0.45,0.03,0.33
0.3,0.04,0.33
0.25,0.05,0.33
0.2,0.06,0.33
0.15,0.07,0.33
0.15,0.08,0.33
0.1,0.09,0.33
0.1,0.1,0.33
1.0,0.01,0.34
0.75,0.02,0.34
0.45,0.03,0.34
0.3,0.04,0.34
0.25,0.05,0.34
0.2,0.06,0.34
0.15,0.07,0.34
0.15,0.08,0.34
0.1,0.09,0.34
0.1,0.1,0.34
1.0,0.01,0.35000000000000003
0.75,0.02,0.35000000000000003
0.45,0.03,0.35000000000000003
0.3,0.04,0.35000000000000003
0.25,0.05,0.35000000000000003
0.2,0.06,0.35000000000000003
0.15,0.07,0.35000000000000003
0.15,0.08,0.35000000000000003
0.1,0.09,0.35000000000000003
0.1,0.1,0.35000000000000003
1.0,0.01,0.36
0.75,0.02,0.36
0.45,0.03,0.36
0.35,0.04,0.36
0.25,0.05,0.36
0.2,0.06,0.36
0.15,0.07,0.36
0.15,0.08,0.36
0.1,0.09,0.36
0.1,0.1,0.36
1.0,0.01,0.37
0.8,0.02,0.37
0.5,0.03,0.37
0.35,0.04,0.37
0.25,0.05,0.37
0.2,0.06,0.37
0.15,0.07,0.37
0.15,0.08,0.37
0.1,0.09,0.37
0.1,0.1,0.37
1.0,0.01,0.38
0.8,0.02,0.38
0.5,0.03,0.38
0.35,0.04,0.38
0.25,0.05,0.38
0.2,0.06,0.38
0.15,0.07,0.38
0.15,0.08,0.38
0.1,0.09,0.38
0.1,0.1,0.38
1.0,0.01,0.39
0.8,0.02,0.39
0.5,0.03,0.39
0.35,0.04,0.39
0.25,0.05,0.39
0.2,0.06,0.39
0.15,0.07,0.39
0.15,0.08,0.39
0.15,0.09,0.39
0.1,0.1,0.39
1.0,0.01,0.4
0.85,0.02,0.4
0.5,0.03,0.4
0.35,0.04,0.4
0.25,0.05,0.4
0.2,0.06,0.4
0.2,0.07,0.4
0.15,0.08,0.4
0.15,0.09,0.4
0.1,0.1,0.4
1.0,0.01,0.41000000000000003
0.85,0.02,0.41000000000000003
0.5,0.03,0.41000000000000003
0.35,0.04,0.41000000000000003
0.3,0.05,0.41000000000000003
0.2,0.06,0.41000000000000003
0.2,0.07,0.41000000000000003
0.15,0.08,0.41000000000000003
0.15,0.09,0.41000000000000003
0.1,0.1,0.41000000000000003
1.0,0.01,0.42
0.85,0.02,0.42
0.55,0.03,0.42
0.35,0.04,0.42
0.3,0.05,0.42
0.2,0.06,0.42
0.2,0.07,0.42
0.15,0.08,0.42
0.15,0.09,0.42
0.1,0.1,0.42
1.0,0.01,0.43
0.85,0.02,0.43
0.55,0.03,0.43
0.4,0.04,0.43
0.3,0.05,0.43
0.25,0.06,0.43
0.2,0.07,0.43
0.15,0.08,0.43
0.15,0.09,0.43
0.1,0.1,0.43
1.0,0.01,0.44
0.85,0.02,0.44
0.55,0.03,0.44
0.4,0.04,0.44
0.3,0.05,0.44
0.25,0.06,0.44
0.2,0.07,0.44
0.15,0.08,0.44
0.15,0.09,0.44
0.1,0.1,0.44
1.0,0.01,0.45
0.9,0.02,0.45
0.55,0.03,0.45
0.4,0.04,0.45
0.3,0.05,0.45
0.25,0.06,0.45
0.2,0.07,0.45
0.15,0.08,0.45
0.15,0.09,0.45
0.15,0.1,0.45
1.0,0.01,0.46
0.9,0.02,0.46
0.55,0.03,0.46
0.4,0.04,0.46
0.3,0.05,0.46
0.25,0.06,0.46
0.2,0.07,0.46
0.15,0.08,0.46
0.15,0.09,0.46
0.15,0.1,0.46
1.0,0.01,0.47000000000000003
0.9,0.02,0.47000000000000003
0.6,0.03,0.47000000000000003
0.4,0.04,0.47000000000000003
0.3,0.05,0.47000000000000003
0.25,0.06,0.47000000000000003
0.2,0.07,0.47000000000000003
0.15,0.08,0.47000000000000003
0.15,0.09,0.47000000000000003
0.15,0.1,0.47000000000000003
1.0,0.01,0.48
0.9,0.02,0.48
0.6,0.03,0.48
0.4,0.04,0.48
0.3,0.05,0.48
0.25,0.06,0.48
0.2,0.07,0.48
0.2,0.08,0.48
0.15,0.09,0.48
0.15,0.1,0.48
1.0,0.01,0.49
0.9,0.02,0.49
0.6,0.03,0.49
0.4,0.04,0.49
0.3,0.05,0.49
0.25,0.06,0.49
0.2,0.07,0.49
0.2,0.08,0.49
0.15,0.09,0.49
0.15,0.1,0.49
1.0,0.01,0.5
0.95,0.02,0.5
0.6,0.03,0.5
0.45,0.04,0.5
0.35,0.05,0.5
0.25,0.06,0.5
0.2,0.07,0.5
0.2,0.08,0.5
0.15,0.09,0.5
0.15,0.1,0.5
1.0,0.01,0.51
0.95,0.02,0.51
0.6,0.03,0.51
0.45,0.04,0.51
0.35,0.05,0.51
0.25,0.06,0.51
0.2,0.07,0.51
0.2,0.08,0.51
0.15,0.09,0.51
0.15,0.1,0.51
1.0,0.01,0.52
0.95,0.02,0.52
0.6,0.03,0.52
0.45,0.04,0.52
0.35,0.05,0.52
0.25,0.06,0.52
0.2,0.07,0.52
0.2,0.08,0.52
0.15,0.09,0.52
0.15,0.1,0.52
1.0,0.01,0.53
0.95,0.02,0.53
0.65,0.03,0.53
0.45,0.04,0.53
0.35,0.05,0.53
0.25,0.06,0.53
0.2,0.07,0.53
0.2,0.08,0.53
0.15,0.09,0.53
0.15,0.1,0.53
1.0,0.01,0.54
0.95,0.02,0.54
0.65,0.03,0.54
0.45,0.04,0.54
0.35,0.05,0.54
0.3,0.06,0.54
0.25,0.07,0.54
0.2,0.08,0.54
0.15,0.09,0.54
0.15,0.1,0.54
1.0,0.01,0.55
0.95,0.02,0.55
0.65,0.03,0.55
0.45,0.04,0.55
0.35,0.05,0.55
0.3,0.06,0.55
0.25,0.07,0.55
0.2,0.08,0.55
0.15,0.09,0.55
0.15,0.1,0.55
1.0,0.01,0.56
1.0,0.02,0.56
0.65,0.03,0.56
0.45,0.04,0.56
0.35,0.05,0.56
0.3,0.06,0.56
0.25,0.07,0.56
0.2,0.08,0.56
0.15,0.09,0.56
0.15,0.1,0.56
1.0,0.01,0.5700000000000001
1.0,0.02,0.5700000000000001
0.65,0.03,0.5700000000000001
0.45,0.04,0.5700000000000001
0.35,0.05,0.5700000000000001
0.3,0.06,0.5700000000000001
0.25,0.07,0.5700000000000001
0.2,0.08,0.5700000000000001
0.2,0.09,0.5700000000000001
0.15,0.1,0.5700000000000001
1.0,0.01,0.58
1.0,0.02,0.58
0.65,0.03,0.58
0.5,0.04,0.58
0.35,0.05,0.58
0.3,0.06,0.58
0.25,0.07,0.58
0.2,0.08,0.58
0.2,0.09,0.58
0.15,0.1,0.58
1.0,0.01,0.59
1.0,0.02,0.59
0.65,0.03,0.59
0.5,0.04,0.59
0.35,0.05,0.59
0.3,0.06,0.59
0.25,0.07,0.59
0.2,0.08,0.59
0.2,0.09,0.59
0.15,0.1,0.59
1.0,0.01,0.6
1.0,0.02,0.6
0.65,0.03,0.6
0.5,0.04,0.6
0.35,0.05,0.6
0.3,0.06,0.6
0.25,0.07,0.6
0.2,0.08,0.6
0.2,0.09,0.6
0.15,0.1,0.6
1.0,0.01,0.61
1.0,0.02,0.61
0.7,0.03,0.61
0.5,0.04,0.61
0.4,0.05,0.61
0.3,0.06,0.61
0.25,0.07,0.61
0.2,0.08,0.61
0.2,0.09,0.61
0.15,0.1,0.61
1.0,0.01,0.62
1.0,0.02,0.62
0.7,0.03,0.62
0.5,0.04,0.62
0.4,0.05,0.62
0.3,0.06,0.62
0.25,0.07,0.62
0.2,0.08,0.62
0.2,0.09,0.62
0.15,0.1,0.62
1.0,0.01,0.63
1.0,0.02,0.63
0.7,0.03,0.63
0.5,0.04,0.63
0.4,0.05,0.63
0.3,0.06,0.63
0.25,0.07,0.63
0.2,0.08,0.63
0.2,0.09,0.63
0.15,0.1,0.63
1.0,0.01,0.64
1.0,0.02,0.64
0.7,0.03,0.64
0.5,0.04,0.64
0.4,0.05,0.64
0.3,0.06,0.64
0.25,0.07,0.64
0.2,0.08,0.64
0.2,0.09,0.64
0.15,0.1,0.64
1.0,0.01,0.65
1.0,0.02,0.65
0.7,0.03,0.65
0.5,0.04,0.65
0.4,0.05,0.65
0.3,0.06,0.65
0.25,0.07,0.65
0.2,0.08,0.65
0.2,0.09,0.65
0.15,0.1,0.65
1.0,0.01,0.66
1.0,0.02,0.66
0.7,0.03,0.66
0.5,0.04,0.66
0.4,0.05,0.66
0.3,0.06,0.66
0.25,0.07,0.66
0.25,0.08,0.66
0.2,0.09,0.66
0.15,0.1,0.66
1.0,0.01,0.67
1.0,0.02,0.67
0.7,0.03,0.67
0.5,0.04,0.67
0.4,0.05,0.67
0.3,0.06,0.67
0.25,0.07,0.67
0.25,0.08,0.67
0.2,0.09,0.67
0.15,0.1,0.67
1.0,0.01,0.68
1.0,0.02,0.68
0.7,0.03,0.68
0.5,0.04,0.68
0.4,0.05,0.68
0.35,0.06,0.68
0.25,0.07,0.68
0.25,0.08,0.68
0.2,0.09,0.68
0.2,0.1,0.68
1.0,0.01,0.6900000000000001
1.0,0.02,0.6900000000000001
0.7,0.03,0.6900000000000001
0.55,0.04,0.6900000000000001
0.4,0.05,0.6900000000000001
0.35,0.06,0.6900000000000001
0.25,0.07,0.6900000000000001
0.25,0.08,0.6900000000000001
0.2,0.09,0.6900000000000001
0.2,0.1,0.6900000000000001
1.0,0.01,0.7000000000000001
1.0,0.02,0.7000000000000001
0.75,0.03,0.7000000000000001
0.55,0.04,0.7000000000000001
0.4,0.05,0.7000000000000001
0.35,0.06,0.7000000000000001
0.3,0.07,0.7000000000000001
0.25,0.08,0.7000000000000001
0.2,0.09,0.7000000000000001
0.2,0.1,0.7000000000000001
1.0,0.01,0.71
1.0,0.02,0.71
0.75,0.03,0.71
0.55,0.04,0.71
0.4,0.05,0.71
0.35,0.06,0.71
0.3,0.07,0.71
0.25,0.08,0.71
0.2,0.09,0.71
0.2,0.1,0.71
1.0,0.01,0.72
1.0,0.02,0.72
0.75,0.03,0.72
0.55,0.04,0.72
0.4,0.05,0.72
0.35,0.06,0.72
0.3,0.07,0.72
0.25,0.08,0.72
0.2,0.09,0.72
0.2,0.1,0.72
1.0,0.01,0.73
1.0,0.02,0.73
0.75,0.03,0.73
0.55,0.04,0.73
0.4,0.05,0.73
0.35,0.06,0.73
0.3,0.07,0.73
0.25,0.08,0.73
0.2,0.09,0.73
0.2,0.1,0.73
1.0,0.01,0.74
1.0,0.02,0.74
0.75,0.03,0.74
0.55,0.04,0.74
0.45,0.05,0.74
0.35,0.06,0.74
0.3,0.07,0.74
0.25,0.08,0.74
0.2,0.09,0.74
0.2,0.1,0.74
1.0,0.01,0.75
1.0,0.02,0.75
0.75,0.03,0.75
0.55,0.04,0.75
0.45,0.05,0.75
0.35,0.06,0.75
0.3,0.07,0.75
0.25,0.08,0.75
0.2,0.09,0.75
0.2,0.1,0.75
1.0,0.01,0.76
1.0,0.02,0.76
0.75,0.03,0.76
0.55,0.04,0.76
0.45,0.05,0.76
0.35,0.06,0.76
0.3,0.07,0.76
0.25,0.08,0.76
0.2,0.09,0.76
0.2,0.1,0.76
1.0,0.01,0.77
1.0,0.02,0.77
0.75,0.03,0.77
0.55,0.04,0.77
0.45,0.05,0.77
0.35,0.06,0.77
0.3,0.07,0.77
0.25,0.08,0.77
0.2,0.09,0.77
0.2,0.1,0.77
1.0,0.01,0.78
1.0,0.02,0.78
0.75,0.03,0.78
0.55,0.04,0.78
0.45,0.05,0.78
0.35,0.06,0.78
0.3,0.07,0.78
0.25,0.08,0.78
0.2,0.09,0.78
0.2,0.1,0.78
1.0,0.01,0.79
1.0,0.02,0.79
0.75,0.03,0.79
0.55,0.04,0.79
0.45,0.05,0.79
0.35,0.06,0.79
0.3,0.07,0.79
0.25,0.08,0.79
0.2,0.09,0.79
0.2,0.1,0.79
1.0,0.01,0.8
1.0,0.02,0.8
0.75,0.03,0.8
0.55,0.04,0.8
0.45,0.05,0.8
0.35,0.06,0.8
0.3,0.07,0.8
0.25,0.08,0.8
0.2,0.09,0.8
0.2,0.1,0.8
1.0,0.01,0.81
1.0,0.02,0.81
0.75,0.03,0.81
0.55,0.04,0.81
0.45,0.05,0.81
0.35,0.06,0.81
0.3,0.07,0.81
0.25,0.08,0.81
0.2,0.09,0.81
0.2,0.1,0.81
1.0,0.01,0.8200000000000001
1.0,0.02,0.8200000000000001
0.8,0.03,0.8200000000000001
0.6,0.04,0.8200000000000001
0.45,0.05,0.8200000000000001
0.35,0.06,0.8200000000000001
0.3,0.07,0.8200000000000001
0.25,0.08,0.8200000000000001
0.25,0.09,0.8200000000000001
0.2,0.1,0.8200000000000001
1.0,0.01,0.8300000000000001
1.0,0.02,0.8300000000000001
0.8,0.03,0.8300000000000001
0.6,0.04,0.8300000000000001
0.45,0.05,0.8300000000000001
0.35,0.06,0.8300000000000001
0.3,0.07,0.8300000000000001
0.25,0.08,0.8300000000000001
0.25,0.09,0.8300000000000001
0.2,0.1,0.8300000000000001
1.0,0.01,0.84
1.0,0.02,0.84
0.8,0.03,0.84
0.6,0.04,0.84
0.45,0.05,0.84
0.35,0.06,0.84
0.3,0.07,0.84
0.25,0.08,0.84
0.25,0.09,0.84
0.2,0.1,0.84
1.0,0.01,0.85
1.0,0.02,0.85
0.8,0.03,0.85
0.6,0.04,0.85
0.45,0.05,0.85
0.35,0.06,0.85
0.3,0.07,0.85
0.25,0.08,0.85
0.25,0.09,0.85
0.2,0.1,0.85
1.0,0.01,0.86
1.0,0.02,0.86
0.8,0.03,0.86
0.6,0.04,0.86
0.45,0.05,0.86
0.4,0.06,0.86
0.3,0.07,0.86
0.25,0.08,0.86
0.25,0.09,0.86
0.2,0.1,0.86
1.0,0.01,0.87
1.0,0.02,0.87
0.8,0.03,0.87
0.6,0.04,0.87
0.45,0.05,0.87
0.4,0.06,0.87
0.3,0.07,0.87
0.25,0.08,0.87
0.25,0.09,0.87
0.2,0.1,0.87
1.0,0.01,0.88
1.0,0.02,0.88
0.8,0.03,0.88
0.6,0.04,0.88
0.45,0.05,0.88
0.4,0.06,0.88
0.3,0.07,0.88
0.25,0.08,0.88
0.25,0.09,0.88
0.2,0.1,0.88
1.0,0.01,0.89
1.0,0.02,0.89
0.8,0.03,0.89
0.6,0.04,0.89
0.45,0.05,0.89
0.4,0.06,0.89
0.3,0.07,0.89
0.25,0.08,0.89
0.25,0.09,0.89
0.2,0.1,0.89
1.0,0.01,0.9
1.0,0.02,0.9
0.8,0.03,0.9
0.6,0.04,0.9
0.45,0.05,0.9
0.4,0.06,0.9
0.3,0.07,0.9
0.3,0.08,0.9
0.25,0.09,0.9
0.2,0.1,0.9
1.0,0.01,0.91
1.0,0.02,0.91
0.8,0.03,0.91
0.6,0.04,0.91
0.5,0.05,0.91
0.4,0.06,0.91
0.3,0.07,0.91
0.3,0.08,0.91
0.25,0.09,0.91
0.2,0.1,0.91
1.0,0.01,0.92
1.0,0.02,0.92
0.8,0.03,0.92
0.6,0.04,0.92
0.5,0.05,0.92
0.4,0.06,0.92
0.35,0.07,0.92
0.3,0.08,0.92
0.25,0.09,0.92
0.2,0.1,0.92
1.0,0.01,0.93
1.0,0.02,0.93
0.8,0.03,0.93
0.6,0.04,0.93
0.5,0.05,0.93
0.4,0.06,0.93
0.35,0.07,0.93
0.3,0.08,0.93
0.25,0.09,0.93
0.2,0.1,0.93
1.0,0.01,0.9400000000000001
1.0,0.02,0.9400000000000001
0.8,0.03,0.9400000000000001
0.6,0.04,0.9400000000000001
0.5,0.05,0.9400000000000001
0.4,0.06,0.9400000000000001
0.35,0.07,0.9400000000000001
0.3,0.08,0.9400000000000001
0.25,0.09,0.9400000000000001
0.2,0.1,0.9400000000000001
1.0,0.01,0.9500000000000001
1.0,0.02,0.9500000000000001
0.8,0.03,0.9500000000000001
0.6,0.04,0.9500000000000001
0.5,0.05,0.9500000000000001
0.4,0.06,0.9500000000000001
0.35,0.07,0.9500000000000001
0.3,0.08,0.9500000000000001
0.25,0.09,0.9500000000000001
0.2,0.1,0.9500000000000001
1.0,0.01,0.96
1.0,0.02,0.96
0.85,0.03,0.96
0.6,0.04,0.96
0.5,0.05,0.96
0.4,0.06,0.96
0.35,0.07,0.96
0.3,0.08,0.96
0.25,0.09,0.96
0.2,0.1,0.96
1.0,0.01,0.97
1.0,0.02,0.97
0.85,0.03,0.97
0.6,0.04,0.97
0.5,0.05,0.97
0.4,0.06,0.97
0.35,0.07,0.97
0.3,0.08,0.97
0.25,0.09,0.97
0.2,0.1,0.97
1.0,0.01,0.98
1.0,0.02,0.98
0.85,0.03,0.98
0.6,0.04,0.98
0.5,0.05,0.98
0.4,0.06,0.98
0.35,0.07,0.98
0.3,0.08,0.98
0.25,0.09,0.98
0.2,0.1,0.98
1.0,0.01,0.99
1.0,0.02,0.99
0.85,0.03,0.99
0.65,0.04,0.99
0.5,0.05,0.99
0.4,0.06,0.99
0.35,0.07,0.99
0.3,0.08,0.99
0.25,0.09,0.99
0.2,0.1,0.99
1.0,0.01,1.0
1.0,0.02,1.0
0.85,0.03,1.0
0.65,0.04,1.0
0.5,0.05,1.0
0.4,0.06,1.0
0.35,0.07,1.0
0.3,0.08,1.0
0.25,0.09,1.0
0.25,0.1,1.0
1.0,0.01,1.01
1.0,0.02,1.01
0.85,0.03,1.01
0.65,0.04,1.01
0.5,0.05,1.01
0.4,0.06,1.01
0.35,0.07,1.01
0.3,0.08,1.01
0.25,0.09,1.01
0.25,0.1,1.01
1.0,0.01,1.02
1.0,0.02,1.02
0.85,0.03,1.02
0.65,0.04,1.02
0.5,0.05,1.02
0.4,0.06,1.02
0.35,0.07,1.02
0.3,0.08,1.02
0.25,0.09,1.02
0.25,0.1,1.02
1.0,0.01,1.03
1.0,0.02,1.03
0.85,0.03,1.03
0.65,0.04,1.03
0.5,0.05,1.03
0.4,0.06,1.03
0.35,0.07,1.03
0.3,0.08,1.03
0.25,0.09,1.03
0.25,0.1,1.03
1.0,0.01,1.04
1.0,0.02,1.04
0.85,0.03,1.04
0.65,0.04,1.04
0.5,0.05,1.04
0.4,0.06,1.04
0.35,0.07,1.04
0.3,0.08,1.04
0.25,0.09,1.04
0.25,0.1,1.04
1.0,0.01,1.05
1.0,0.02,1.05
0.85,0.03,1.05
0.65,0.04,1.05
0.5,0.05,1.05
0.4,0.06,1.05
0.35,0.07,1.05
0.3,0.08,1.05
0.25,0.09,1.05
0.25,0.1,1.05
1.0,0.01,1.06
1.0,0.02,1.06
0.85,0.03,1.06
0.65,0.04,1.06
0.5,0.05,1.06
0.4,0.06,1.06
0.35,0.07,1.06
0.3,0.08,1.06
0.25,0.09,1.06
0.25,0.1,1.06
1.0,0.01,1.07
1.0,0.02,1.07
0.85,0.03,1.07
0.65,0.04,1.07
0.5,0.05,1.07
0.4,0.06,1.07
0.35,0.07,1.07
0.3,0.08,1.07
0.25,0.09,1.07
0.25,0.1,1.07
1.0,0.01,1.08
1.0,0.02,1.08
0.85,0.03,1.08
0.65,0.04,1.08
0.5,0.05,1.08
0.4,0.06,1.08
0.35,0.07,1.08
0.3,0.08,1.08
0.25,0.09,1.08
0.25,0.1,1.08
1.0,0.01,1.09
1.0,0.02,1.09
0.85,0.03,1.09
0.65,0.04,1.09
0.5,0.05,1.09
0.4,0.06,1.09
0.35,0.07,1.09
0.3,0.08,1.09
0.25,0.09,1.09
0.25,0.1,1.09
1.0,0.01,1.1
1.0,0.02,1.1
0.85,0.03,1.1
0.65,0.04,1.1
0.5,0.05,1.1
0.4,0.06,1.1
0.35,0.07,1.1
0.3,0.08,1.1
0.25,0.09,1.1
0.25,0.1,1.1
1.0,0.01,1.11
1.0,0.02,1.11
0.85,0.03,1.11
0.65,0.04,1.11
0.5,0.05,1.11
0.45,0.06,1.11
0.35,0.07,1.11
0.3,0.08,1.11
0.25,0.09,1.11
0.25,0.1,1.11
1.0,0.01,1.12
1.0,0.02,1.12
0.85,0.03,1.12
0.65,0.04,1.12
0.5,0.05,1.12
0.45,0.06,1.12
0.35,0.07,1.12
0.3,0.08,1.12
0.25,0.09,1.12
0.25,0.1,1.12
1.0,0.01,1.1300000000000001
