Point,Count
"(0.9, 0.095)",6
"(0.7, 0.065)",3
"(0.5, 0.1)",6
"(0.4, 0.05)",7
"(0.75, 0.05)",8
"(0.6, 0.065)",7
"(0.7, 0.04)",8
"(0.35, 0.08)",6
"(0.75, 0.055)",7
"(0.8, 0.06)",7
"(0.75, 0.035)",4
"(0.5, 0.065)",6
"(0.45, 0.095)",7
"(0.55, 0.05)",7
"(0.55, 0.065)",5
"(0.8, 0.065)",8
"(0.85, 0.08)",7
"(0.8, 0.085)",8
"(0.5, 0.075)",7
"(0.55, 0.09)",8
"(0.85, 0.075)",5
"(0.7, 0.03)",3
"(0.95, 0.035)",8
"(0.7, 0.035)",7
"(0.6, 0.08)",6
"(0.35, 0.035)",7
"(0.45, 0.03)",3
