Point,Count
"(0.3, 0.065)",1
"(0.65, 0.085)",5
"(0.65, 0.05)",4
"(0.3, 0.07)",1
"(0.7, 0.075)",2
"(1.0, 0.035)",5
"(0.85, 0.06)",4
"(0.9, 0.095)",2
"(0.35, 0.04)",4
"(0.6, 0.06)",3
"(0.35, 0.03)",4
"(0.45, 0.095)",3
"(0.85, 0.035)",2
"(0.7, 0.03)",2
"(0.65, 0.07)",3
"(0.7, 0.055)",2
"(0.3, 0.05)",2
"(1.0, 0.08)",3
"(0.45, 0.045)",1
"(0.55, 0.07)",2
"(0.45, 0.05)",5
"(0.55, 0.09)",4
"(1.0, 0.075)",1
"(0.85, 0.04)",3
"(0.35, 0.1)",2
"(0.3, 0.04)",3
"(0.8, 0.085)",3
"(1.0, 0.095)",2
"(0.4, 0.05)",3
"(0.3, 0.055)",2
"(0.3, 0.095)",1
"(1.0, 0.1)",2
"(0.3, 0.035)",1
"(1.0, 0.07)",1
"(0.35, 0.08)",1
"(0.6, 0.1)",1
"(1.0, 0.09)",1
"(0.3, 0.03)",1
"(0.55, 0.03)",1
"(0.75, 0.09)",1
"(0.8, 0.065)",1
"(0.95, 0.1)",1
